股票代码,股票简称,现价(元),a股流通市值 (元)2022.05.26,涨跌幅(%),涨停2022.05.26,涨停类型2022.05.26,几天几板2022.05.26,首次涨停时间2022.05.26,最终涨停时间2022.05.26,涨停明细数据2022.05.26,连续涨停天数(天)2022.05.26,涨停原因类别2022.05.26,涨停封单量(股)2022.05.26,涨停封单额(元)2022.05.26,涨停封成比(%)2022.05.26,涨停封流比(%)2022.05.26,涨停开板次数(次)2022.05.26
000017.SZ,深中华A,3.68,1078612388.48,3.37,涨停,放量涨停,首板涨停,09:31:30,09:31:30,,1,锂电池+两轮车+珠宝,7857000,27970920,71.22,2.59,0
000025.SZ,特力A,16.29,5817046919.2,9.99,涨停,放量涨停,2天2板,10:15:01,10:15:01,,2,汽车服务+物业管理+珠宝,4304865,63755050.65,24.81,1.1,0
000062.SZ,深圳华强,12.67,13474733209.8,-1.78,涨停,放量涨停,首板涨停,10:20:01,10:20:01,,1,电子元器件+深圳本地股,3184211,41076321.9,50.98,0.3,0
000404.SZ,长虹华意,5.84,3694521559.32,9.98,涨停,放量涨停,2天2板,09:32:15,09:45:15,,2,家用零部件+新能源汽车,6267053,33278051.43,11.34,0.9,2
000546.SZ,金圆股份,14.25,10279397511.19,-0.97,涨停,放量涨停,首板涨停,10:36:46,14:11:20,,1,盐湖提锂+建筑材料,1458700,20990693,2.62,0.2,7
000547.SZ,航天发展,10.9,12915624399.25,6.34,涨停,放量涨停,首板涨停,10:32:01,13:45:39,,1,军工+卫星导航,6748626,69173416.5,9.57,0.54,1
000595.SZ,宝塔实业,5.4,5587795873.06,9.98,涨停,放量涨停,3天3板,09:35:45,09:36:15,,3,军工+国产航母,20972484,102974896.44,22.96,1.84,1
000606.SZ,*ST顺利,1.48,1053730392.94,-0.67,涨停,缩量涨停,首板涨停,09:44:00,09:44:00,,1,ST板块,2568998,3827807.02,33.76,0.36,0
000680.SZ,山推股份,5.17,5379941939.77,1.57,涨停,放量涨停,首板涨停,11:25:20,14:51:05,,1,工程机械+新型城镇化,1475318,7509368.62,0.74,0.14,8
000681.SZ,视觉中国,13.7,8670223525.32,-4.46,涨停,缩量涨停,2天2板,09:30:30,09:30:30,,2,NFT概念+传媒,9054708,129844512.72,40.27,1.5,0
000756.SZ,新华制药,38.6,15310915144.8,10,涨停,放量涨停,24天17板,14:51:20,14:51:20,,1,医药+新冠治疗,7476254,262341752.86,7.43,1.71,0
000880.SZ,潍柴重机,10.12,1491890400,10,涨停,放量涨停,首板涨停,09:48:45,09:48:45,,1,海工装备,3350726,30826679.2,33.45,2.07,0
000918.SZ,嘉凯城,2.38,4420269175,-2.86,涨停,缩量涨停,首板涨停,09:34:00,09:34:00,,1,房地产开发+REITs,15448700,37849315,27.18,0.86,0
000957.SZ,中通客车,12.41,6687956398.08,10.02,涨停,放量涨停,10天10板,13:12:49,13:12:49,,10,汽车整车+核酸检测,14176714,159913333.92,9.91,2.39,0
001318.SZ,阳光乳业,21.93,1409758000,9.98,涨停,一字涨停||放量涨停,5天5板,09:30:00,09:30:00,,5,食品加工+新股+乳业,24006217,478683966.98,2317.91,33.96,0
002068.SZ,黑猫股份,11.5,7982529679.08,4.74,涨停,放量涨停,首板涨停,13:06:19,13:06:19,,1,炭黑+PVDF概念,5329669,58519765.62,20.59,0.73,0
002086.SZ,ST东洋,2.51,1654357678.94,-4.56,涨停,放量涨停,17天9板,14:02:15,14:53:58,,1,ST板块,290900,765067,1.73,0.05,4
002116.SZ,中国海诚,12.33,5259187748.82,-2.38,涨停,放量涨停,7天5板,09:45:45,09:50:00,,2,新型城镇化+建筑装饰,3561403,44980519.89,7.26,0.86,1
002121.SZ,科陆电子,6.04,6515461426.05,10.02,涨停,一字涨停||缩量涨停,3天3板,09:30:00,09:30:00,,3,控股股东变更+储能,49271050,270498064.5,1882.12,4.15,0
002137.SZ,实益达,6.23,2702722027.64,-9.97,涨停,T字涨停||放量涨停,4天4板,09:30:00,09:36:45,,4,数字文化传媒+抖音+无线耳机,18181652,125817031.84,30.78,4.66,1
002181.SZ,粤传媒,4.59,4730583846.09,10.07,涨停,放量涨停,首板涨停,14:48:32,14:48:32,,1,传媒,5719100,23848647,28.87,0.5,0
002194.SZ,武汉凡谷,9.99,4841286672.04,3.63,涨停,放量涨停,首板涨停,11:01:01,11:01:01,,1,汽车电子+通信设备+5G,11185760,107830726.4,44.35,2.23,0
002201.SZ,正威新材,17.55,7665439390.96,6.3,涨停,放量涨停,首板涨停,10:46:33,10:46:33,,1,建筑材料+风电+智慧灯杆,652400,10771124,4.47,0.14,0
002213.SZ,大为股份,12.82,2399900000,10.04,涨停,放量涨停,首板涨停,09:41:15,09:41:15,,1,资产出售+半导体+汽车零部件,4164200,48512930,121.59,2.02,0
002290.SZ,禾盛新材,7,1543459947.98,-1.82,涨停,放量涨停,首板涨停,10:34:16,10:34:16,,1,家电零部件,2776510,19796516.3,64.84,1.28,0
002350.SZ,北京科锐,7.3,3513628322.88,9.94,涨停,放量涨停,首板涨停,10:16:16,10:16:16,,1,储能+光伏+充电桩,15963009,105994379.76,77.57,3.02,0
002370.SZ,亚太药业,5.36,2794630238.88,-2.9,涨停,放量涨停,首板涨停,10:02:30,10:02:30,,1,医药+肝炎,7435800,41045616,16.18,1.47,0
002417.SZ,*ST深南,3.25,737376445.77,3.83,涨停,缩量涨停,首板涨停,10:08:45,10:08:45,,1,ST板块,2810438,8796670.94,25.03,1.19,0
002418.SZ,康盛股份,3.2,3759927472.5,-3.32,涨停,放量涨停,首板涨停,10:23:01,10:23:01,,1,家电零部件+新能源汽车,7493200,24802492,20.06,0.66,0
002420.SZ,毅昌科技,7.79,2764144140.12,10.03,涨停,放量涨停,2天2板,09:31:45,10:21:16,,2,新能源汽车+家电+军工,6528253,46220031.24,22.96,1.67,3
002630.SZ,华西能源,2.25,2360458872.36,-7.41,涨停,T字涨停||放量涨停,2天2板,09:30:00,09:31:15,,2,签订合同+电力设备,13877900,33723297,14.79,1.43,1
002656.SZ,ST摩登,3.57,2163903777.84,0,涨停,一字涨停||缩量涨停,3天3板,09:30:00,09:30:00,,3,ST板块,4777420,17055389.4,590.55,0.79,0
002660.SZ,茂硕电源,8.97,2235770812.05,10.06,涨停,放量涨停,2天2板,09:31:00,09:38:00,,2,光伏+节能照明+智慧灯杆,4562144,37181473.6,15.35,1.66,2
002664.SZ,长鹰信质,13.09,5430124560.49,-4.66,涨停,一字涨停||放量涨停,首板涨停,09:30:00,09:30:00,,1,比亚迪+汽车零部件,3900218,53549993.14,31.5,0.99,0
002668.SZ,ST奥马,4.44,4943548111.68,-2.63,涨停,放量涨停,首板涨停,10:28:46,13:26:23,,1,ST板块,53200,242592,0.72,0,7
002676.SZ,顺威股份,3.87,2735866369.2,1.84,涨停,放量涨停,首板涨停,09:43:00,09:43:00,,1,家电零部件,4403484,16733239.2,36.33,0.61,0
002699.SZ,美盛文化,6.06,5284617532.25,4.3,涨停,放量涨停,首板涨停,14:39:18,14:39:18,,1,元宇宙+传媒,27326040,158764292.4,15.66,3,0
002761.SZ,浙江建投,37.4,16748275424,10,涨停,缩量涨停,首板涨停,09:35:45,09:35:45,,1,基建+新型城镇化,8843400,300675600,24.46,1.8,0
002786.SZ,银宝山新,6.45,3211728000,-0.77,涨停,放量涨停,首板涨停,09:31:00,09:31:00,,1,汽车零部件,4080416,26522704,32.68,0.83,0
002933.SZ,新兴装备,27.04,2059540927.95,-3.6,涨停,放量涨停,2天2板,10:28:01,10:28:01,,2,军工+高端装备,1268213,35573374.65,29.15,1.73,0
002939.SZ,长城证券,8.58,26720320072.11,-0.35,涨停,放量涨停,首板涨停,11:27:50,13:12:04,,1,证券,7175500,61781055,12.95,0.23,1
002977.SZ,天箭科技,53.94,1762264221.25,-2.37,涨停,放量涨停,首板涨停,10:37:46,13:00:19,,1,军工,256785,14187371.25,13.24,0.81,2
002990.SZ,盛视科技,25.52,1591255200,1.23,涨停,放量涨停,首板涨停,13:18:34,13:18:34,,1,物联网+疫情监测,1453664,36646869.44,50.41,2.3,0
002995.SZ,天地在线,21.46,913380674.22,-3.07,涨停,放量涨停,2天2板,09:33:00,09:33:00,,2,传媒+元宇宙,1080980,23932897.2,30.25,2.62,0
003009.SZ,中天火箭,45.52,1821224753.24,10.01,涨停,放量涨停,首板涨停,09:51:00,09:51:00,,1,军工+光伏概念,1379020,57063847.6,84.3,3.13,0
003028.SZ,振邦智能,30.23,858990000,-3.57,涨停,放量涨停,首板涨停,13:21:04,13:58:52,,1,消费电子+新能源汽车+汽车电子,189292,5934304.2,6.17,0.69,5
600081.SH,东风科技,14.26,4063737600,10.03,涨停,T字涨停||放量涨停,2天2板,09:30:00,09:40:45,,2,汽车零部件+汽车电子,4282753,55504478.88,35.46,1.37,1
600107.SH,美尔雅,5.74,2134800000,-3.2,涨停,缩量涨停,首板涨停,09:30:15,09:30:15,,1,股权转让+纺织服饰,7314300,43373799,112.9,2.03,0
600248.SH,陕西建工,5.98,7674679487.28,4.73,涨停,放量涨停,首板涨停,10:59:01,14:19:19,,1,建筑装饰+天然气+水利,1925900,10996889,1.25,0.14,8
600283.SH,钱江水利,18.12,5813840134.26,10.02,涨停,T字涨停||放量涨停,3天3板,09:30:00,09:31:00,,3,水利+环保,3778328,62229062.16,29.82,1.07,1
600388.SH,ST龙净,11.41,11791932126.86,3.45,涨停,放量涨停,首板涨停,09:48:00,13:00:19,,1,ST板块,1127226,12433302.78,3.61,0.11,3
600403.SH,大有能源,6.53,14201425667.88,9.93,涨停,放量涨停,首板涨停,09:46:45,10:11:15,,1,煤炭,6498400,38600496,7.9,0.27,2
600448.SH,华纺股份,4.21,2764908316.18,-4.1,涨停,放量涨停,首板涨停,14:05:09,14:09:32,,1,纺织服饰+人民币贬值受益,7800220,34242965.8,6.13,1.24,2
600508.SH,上海能源,19.25,13023378360,6.83,涨停,缩量涨停,首板涨停,13:27:08,13:27:08,,1,煤炭,5929273,106845499.46,9.76,0.82,0
600686.SH,金龙汽车,8.07,4951385792.14,9.95,涨停,放量涨停,2天2板,09:30:15,09:58:00,,2,汽车整车+方舱医院,17597462,129165371.08,25.56,2.61,2
600778.SH,友好集团,6.71,2100700453.5,-0.59,涨停,缩量涨停,首板涨停,09:33:00,09:33:00,,1,免税店+零售,2595300,17518275,35.76,0.83,0
600817.SH,宇通重工,11.21,2331248694.99,-6.11,涨停,放量涨停,4天4板,09:30:30,14:52:09,,4,工程机械+节能环保,1620600,19917174,4.35,0.85,5
600960.SH,渤海汽车,3.94,3726020830.56,0.51,涨停,放量涨停,首板涨停,14:03:51,14:03:51,,1,汽车零部件,12304732,48234549.44,21.55,1.29,0
601038.SH,一拖股份,12.45,7435753200,-0.56,涨停,放量涨停,首板涨停,10:27:46,10:29:31,,1,农机,2562377,32080960.04,11.9,0.43,1
601101.SH,昊华能源,9.78,11627983255.68,0.93,涨停,放量涨停,首板涨停,13:36:31,14:16:33,,1,煤炭,2334868,22624870.92,2.47,0.19,4
603007.SH,ST花王,4.01,1273587274.2,4.97,涨停,放量涨停,首板涨停,14:05:45,14:05:45,,1,ST板块,973100,3717242,14.08,0.29,0
603018.SH,华设集团,9.6,6251605901.2,2.67,涨停,放量涨停,首板涨停,09:33:45,09:51:45,,1,水利+建筑装饰,3605589,33712257.15,10.19,0.54,5
603032.SH,德新交运,87.4,13890294480,0.68,涨停,放量涨停,首板涨停,10:37:46,15:00:00,,1,摘帽+锂电池,62800,5451668,0.81,0.04,2
603131.SH,上海沪工,14.59,4454942698.62,4.14,涨停,放量涨停,首板涨停,09:56:45,10:32:01,,1,航天军工+通用设备,4619300,64716393,30.44,1.45,1
603196.SH,日播时尚,6.9,1609668800,1.47,涨停,放量涨停,首板涨停,10:05:30,10:05:30,,1,纺织服饰,1828500,12433800,26.06,0.77,0
603272.SH,联翔股份,31.63,744819062.5,10.02,涨停,一字涨停||放量涨停,5天5板,09:30:00,09:30:00,,5,家用轻工+新股,12291446,353379072.5,2202.16,47.44,0
603316.SH,诚邦股份,7.26,1744142400,10,涨停,缩量涨停,首板涨停,09:36:30,09:36:30,,1,新型城镇化+基建+水利,4003320,26421912,27.42,1.51,0
603322.SH,超讯通信,13.55,1928326400,9.98,涨停,放量涨停,首板涨停,11:03:16,11:03:16,,1,5G+通信服务,2093868,25796453.76,24.94,1.34,0
603535.SH,嘉诚国际,30.22,4450336000,2.13,涨停,放量涨停,首板涨停,11:29:23,14:56:17,,1,物流+统一大市场,54200,1603778,0.79,0.04,5
603603.SH,*ST博天,4.11,1001999035.58,5.12,涨停,一字涨停||缩量涨停,5天4板,09:30:00,09:30:00,,2,ST板块,3922400,15336584,518.15,1.53,0
603619.SH,中曼石油,20.15,7672001918,5.06,涨停,放量涨停,2天2板,13:36:01,14:31:49,,2,油服+天然气,720150,13812477,1.66,0.18,4
603789.SH,星光农机,9.58,2264600000,9.99,涨停,放量涨停,首板涨停,10:30:01,10:30:01,,1,农机,1902230,16568423.3,38.05,0.73,0
603815.SH,交建股份,9.84,2809460808,-0.81,涨停,缩量涨停,首板涨停,09:32:15,09:32:15,,1,中标+基建,8810432,87399485.44,34.26,3.11,0
603988.SH,中电电机,11.38,2533104000,5.66,涨停,放量涨停,2天2板,10:42:47,10:42:47,,2,电机,1004560,10819111.2,4.44,0.43,0
605366.SH,宏柏新材,23.97,3525036502.7,10.01,涨停,放量涨停,首板涨停,13:54:06,13:54:06,,1,有机硅+硅能源,1178187,25672694.73,5.93,0.73,0
